,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1064,Ravindra Jadeja,12,12,38,349,5,Feb-28,69.8,9.18,45.6,0,0
1065,Mohammad Shami,8,8,26,243,5,Feb-36,48.6,9.34,31.2,0,0
1066,Pradeep Sangwan,5,5,18,181,5,Feb-38,36.2,10.05,21.6,0,0
1067,Ankit Rajpoot,5,5,14,107,4,Mar-37,26.75,7.64,21,0,0
1068,Stuart Binny,8,4,6,50,4,01-Sep,12.5,8.33,9,0,0
1069,Colin de Grandhomme,12,9,16,135,4,03-Apr,33.75,8.43,24,0,0
1070,KC Cariappa,4,4,15,127,4,Feb-24,31.75,8.46,22.5,0,0
1071,Rahul Tewatia,3,3,9,49,3,Feb-18,16.33,5.44,18,0,0
1072,Lockie Ferguson,4,4,13,93,3,02-Jul,31,7.15,26,0,0
1073,Bipul Sharma,7,7,16.2,129,3,01-Apr,43,7.89,32.66,0,0
1074,Dhawal Kulkarni,6,6,18.5,173,3,Jan-24,57.66,9.18,37.66,0,0
1075,Adam Milne,4,4,14,134,3,Feb-27,44.66,9.57,28,0,0
1076,Tim Southee,3,3,10,96,3,Feb-39,32,9.6,20,0,0
1077,Corey Anderson,11,8,18.5,186,3,Jan-23,62,9.87,37.66,0,0
1078,Harshal Patel,1,1,4,43,3,Mar-43,14.33,10.75,8,0,0
1079,Mohammad Nabi,3,3,11,58,2,Jan-13,29,5.27,33,0,0
1080,Rajat Bhatia,3,3,7,55,2,Feb-14,27.5,7.85,21,0,0
1081,Ankit Soni,7,6,18.1,144,2,Jan-16,72,7.92,54.5,0,0
1082,Rahul Chahar,3,2,7,58,2,Jan-26,29,8.28,21,0,0
1083,Billy Stanlake,2,2,8,70,2,Feb-29,35,8.75,24,0,0
1084,T Natarajan,6,6,12.4,115,2,Jan-26,57.5,9.07,38,0,0
1085,Travis Head,7,5,8,81,2,Feb-30,40.5,10.12,24,0,0
1086,Vinay Kumar,1,1,3,31,2,Feb-31,15.5,10.33,9,0,0
