,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
602,Praveen Kumar,4,8,0,16,2,0,RCB,M. Chinnaswamy Stadium,02-May-12
603,Dale Steyn,4,10,2,17,2.5,12,MI,Wankhede Stadium,29-Apr-12
604,Marlon Samuels,2,5,1,7,2.5,12,RCB,M. Chinnaswamy Stadium,17-Apr-12
605,Umesh Yadav,4,11,2,15,2.75,12,MI,Wankhede Stadium,16-Apr-12
606,Lakshmipathy Balaji,4,11,2,15,2.75,12,MI,Wankhede Stadium,16-May-12
607,Sunil Narine,4,11,1,13,2.75,24,RCB,Eden Gardens,28-Apr-12
608,Dale Steyn,4,12,3,14,3,8,MI,ACA-VDCA Stadium,09-Apr-12
609,Bhuvneshwar Kumar,3,9,2,8,3,9,MI,Maharashtra Cricket Association's International Stadium,03-May-12
610,Parvinder Awana,4,12,2,15,3,12,CSK,HPCA Stadium,17-May-12
611,Irfan Pathan,4,12,1,13,3,24,MI,Wankhede Stadium,16-Apr-12
612,Shahbaz Nadeem,3,9,0,10,3,0,CSK,Arun Jaitley Stadium,10-Apr-12
613,Ajit Chandila,4,13,4,15,3.25,6,PWI,Sawai Mansingh Stadium,13-May-12
614,Shaun Tait,4,13,3,14,3.25,8,PWI,Maharashtra Cricket Association's International Stadium,08-May-12
615,Harbhajan Singh,4,13,2,15,3.25,12,DEC,Wankhede Stadium,29-Apr-12
616,Lasith Malinga,4,13,2,17,3.25,12,RR,Wankhede Stadium,11-Apr-12
617,Sunil Narine,4,13,1,14,3.25,24,PWI,Eden Gardens,05-May-12
618,Dwayne Bravo,3,10,2,10,3.33,9,MI,M. Chinnaswamy Stadium,23-May-12
619,Rajat Bhatia,4,14,2,12,3.5,12,PBKS,Eden Gardens,15-Apr-12
620,Jacques Kallis,2,7,2,8,3.5,6,RCB,M. Chinnaswamy Stadium,10-Apr-12
621,Sunil Narine,4,14,2,13,3.5,12,CSK,Eden Gardens,14-May-12
622,Kieron Pollard,4,14,2,14,3.5,12,PBKS,Wankhede Stadium,22-Apr-12
623,Kieron Pollard,4,15,2,11,3.75,12,CSK,Chidambaram,04-Apr-12
624,Praveen Kumar,4,15,2,12,3.75,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,08-May-12
625,Albie Morkel,4,15,1,13,3.75,24,DC,Chidambaram,12-May-12
626,Sunil Narine,4,15,1,12,3.75,24,PWI,Maharashtra Cricket Association's International Stadium,19-May-12
627,Brett Lee,4,15,1,15,3.75,24,DEC,Barabati Stadium,22-Apr-12
628,Zaheer Khan,4,15,1,17,3.75,24,RR,M. Chinnaswamy Stadium,15-Apr-12
629,Roelof van der Merwe,4,15,0,11,3.75,0,CSK,Arun Jaitley Stadium,10-Apr-12
630,Ravindra Jadeja,4,16,5,17,4,4.8,DEC,ACA-VDCA Stadium,07-Apr-12
631,Shahbaz Nadeem,4,16,3,9,4,8,DEC,Arun Jaitley Stadium,19-Apr-12
632,Muttiah Muralitharan,4,16,2,11,4,12,PWI,Maharashtra Cricket Association's International Stadium,11-May-12
633,Dale Steyn,4,16,2,12,4,12,RR,Rajiv Gandhi Intl. Cricket Stadium,18-May-12
634,Shahbaz Nadeem,4,16,2,15,4,12,MI,Wankhede Stadium,16-Apr-12
635,Lasith Malinga,4,16,2,12,4,12,PWI,Wankhede Stadium,06-Apr-12
636,Shikhar Dhawan,2,8,1,4,4,12,PBKS,Rajiv Gandhi Intl. Cricket Stadium,08-May-12
637,Muttiah Muralitharan,4,16,1,10,4,24,MI,M. Chinnaswamy Stadium,14-May-12
638,Dwayne Smith,2,8,1,6,4,12,KKR,Wankhede Stadium,16-May-12
639,Stuart Binny,3,12,1,7,4,18,PWI,Maharashtra Cricket Association's International Stadium,08-May-12
640,Rahul Sharma,4,16,1,12,4,24,MI,Wankhede Stadium,06-Apr-12
641,Umesh Yadav,2,8,0,5,4,0,RCB,M. Chinnaswamy Stadium,07-Apr-12
642,Ravichandran Ashwin,3,12,0,10,4,0,DEC,ACA-VDCA Stadium,07-Apr-12
643,Zaheer Khan,4,16,0,14,4,0,MI,Wankhede Stadium,09-May-12
644,Lasith Malinga,3.5,16,2,13,4.17,11.5,CSK,Chidambaram,04-Apr-12
645,Shakib Al Hasan,4,17,3,11,4.25,8,RR,Eden Gardens,13-Apr-12
646,Pragyan Ojha,4,17,2,9,4.25,12,CSK,Chidambaram,04-Apr-12
647,Angelo Mathews,4,17,2,9,4.25,12,KKR,Eden Gardens,05-May-12
648,Munaf Patel,4,17,1,13,4.25,24,KKR,Wankhede Stadium,16-May-12
649,Ravichandran Ashwin,4,17,1,9,4.25,24,DC,Chidambaram,12-May-12
650,Nuwan Kulasekara,4,17,1,13,4.25,24,RR,Chidambaram,21-Apr-12
651,Abhishek Jhunjhunwala,3,13,1,8,4.33,18,CSK,Chidambaram,04-May-12
652,Ashok Dinda,3,13,1,8,4.33,18,PBKS,Maharashtra Cricket Association's International Stadium,08-Apr-12
653,Lasith Malinga,3.4,16,4,12,4.36,5.5,DEC,Wankhede Stadium,29-Apr-12
654,Ashok Dinda,4,18,4,15,4.5,6,MI,Wankhede Stadium,06-Apr-12
655,Pawan Negi,4,18,4,13,4.5,6,RR,Sawai Mansingh Stadium,01-May-12
656,Lakshmipathy Balaji,4,18,4,13,4.5,6,RCB,M. Chinnaswamy Stadium,10-Apr-12
657,Piyush Chawla,4,18,3,11,4.5,8,KKR,Eden Gardens,15-Apr-12
658,Dhawal Kulkarni,4,18,3,15,4.5,8,RR,Sawai Mansingh Stadium,20-May-12
659,Harbhajan Singh,4,18,2,13,4.5,12,PWI,Maharashtra Cricket Association's International Stadium,03-May-12
660,Vinay Kumar,4,18,2,12,4.5,12,KKR,M. Chinnaswamy Stadium,10-Apr-12
661,Shaun Tait,4,18,2,13,4.5,12,PBKS,IS Bindra Stadium,05-May-12
662,Siddharth Trivedi,4,18,2,13,4.5,12,CSK,Sawai Mansingh Stadium,10-May-12
663,Praveen Kumar,4,18,2,14,4.5,12,CSK,HPCA Stadium,17-May-12
664,Pankaj Singh,4,18,2,14,4.5,12,RCB,M. Chinnaswamy Stadium,15-Apr-12
665,Wayne Parnell,4,18,2,12,4.5,12,KKR,Maharashtra Cricket Association's International Stadium,19-May-12
666,Umesh Yadav,2,9,2,5,4.5,6,KKR,Eden Gardens,05-Apr-12
667,Shakib Al Hasan,4,18,2,11,4.5,12,PWI,Maharashtra Cricket Association's International Stadium,19-May-12
668,Ankit Sharma,2,9,1,5,4.5,12,PWI,Barabati Stadium,01-May-12
669,Pawan Negi,4,18,1,11,4.5,24,KKR,Maharashtra Cricket Association's International Stadium,22-May-12
670,Brad Hogg,4,18,1,9,4.5,24,CSK,Chidambaram,21-Apr-12
671,Michael Clarke,2,9,0,3,4.5,0,MI,Maharashtra Cricket Association's International Stadium,03-May-12
672,Anand Rajan,2,9,0,4,4.5,0,MI,ACA-VDCA Stadium,09-Apr-12
673,Harbhajan Singh,4,18,0,12,4.5,0,DEC,ACA-VDCA Stadium,09-Apr-12
674,Wayne Parnell,4,18,0,9,4.5,0,MI,Maharashtra Cricket Association's International Stadium,03-May-12
675,Ankit Sharma,4,18,0,14,4.5,0,MI,ACA-VDCA Stadium,09-Apr-12
676,Harbhajan Singh,4,18,0,10,4.5,0,RCB,Wankhede Stadium,09-May-12
677,Muttiah Muralitharan,4,18,0,10,4.5,0,DEC,M. Chinnaswamy Stadium,06-May-12
678,David Hussey,2,9,0,2,4.5,0,RCB,M. Chinnaswamy Stadium,02-May-12
679,Parvinder Awana,4,18,0,10,4.5,0,PWI,IS Bindra Stadium,12-Apr-12
680,Murali Kartik,3,14,2,8,4.66,9,MI,Wankhede Stadium,06-Apr-12
681,Dwayne Bravo,3,14,1,9,4.66,18,MI,Chidambaram,04-Apr-12
682,Rajat Bhatia,3,14,1,6,4.66,18,PWI,Maharashtra Cricket Association's International Stadium,19-May-12
683,Angelo Mathews,3,14,1,9,4.66,18,RCB,Maharashtra Cricket Association's International Stadium,11-May-12
684,Harbhajan Singh,3,14,0,7,4.66,0,CSK,Wankhede Stadium,06-May-12
685,Dan Christian,3,14,0,10,4.66,0,MI,Wankhede Stadium,29-Apr-12
686,Sunil Narine,3.1,15,4,12,4.73,4.75,MI,Wankhede Stadium,16-May-12
687,Sunil Narine,4,19,5,13,4.75,4.8,PBKS,Eden Gardens,15-Apr-12
688,KP Appanna,4,19,4,14,4.75,6,RR,Sawai Mansingh Stadium,23-Apr-12
689,Umesh Yadav,4,19,3,14,4.75,8,PBKS,HPCA Stadium,19-May-12
690,Ryan Harris,4,19,2,15,4.75,12,DC,HPCA Stadium,19-May-12
691,Dale Steyn,4,19,2,12,4.75,12,DC,Arun Jaitley Stadium,19-Apr-12
692,Piyush Chawla,4,19,2,11,4.75,12,KKR,IS Bindra Stadium,18-Apr-12
693,Ashish Nehra,4,19,2,15,4.75,12,MI,Maharashtra Cricket Association's International Stadium,03-May-12
694,Varun Aaron,4,19,2,10,4.75,12,PBKS,Arun Jaitley Stadium,15-May-12
695,Morne Morkel,4,19,2,13,4.75,12,CSK,Arun Jaitley Stadium,10-Apr-12
696,Brad Hogg,4,19,1,8,4.75,24,RCB,M. Chinnaswamy Stadium,15-Apr-12
697,Pragyan Ojha,4,19,1,11,4.75,24,DC,Wankhede Stadium,16-Apr-12
698,Ravichandran Ashwin,4,19,1,13,4.75,24,RR,Chidambaram,21-Apr-12
699,Ankit Sharma,4,19,1,11,4.75,24,KKR,Barabati Stadium,22-Apr-12
700,Yusuf Pathan,4,19,1,14,4.75,24,RCB,Eden Gardens,28-Apr-12
701,Kevon Cooper,4,19,0,11,4.75,0,DC,Arun Jaitley Stadium,29-Apr-12
702,Ravichandran Ashwin,4,19,0,6,4.75,0,PWI,Maharashtra Cricket Association's International Stadium,14-Apr-12
703,Piyush Chawla,4,19,0,8,4.75,0,MI,Wankhede Stadium,22-Apr-12
704,Praveen Kumar,4,19,0,17,4.75,0,PWI,IS Bindra Stadium,12-Apr-12
705,Morne Morkel,4,20,4,16,5,6,PBKS,HPCA Stadium,19-May-12
706,Munaf Patel,4,20,4,12,5,6,DEC,ACA-VDCA Stadium,09-Apr-12
707,Azhar Mahmood,4,20,3,10,5,8,RCB,M. Chinnaswamy Stadium,02-May-12
708,Jacques Kallis,4,20,2,11,5,12,DC,Arun Jaitley Stadium,07-May-12
709,Nuwan Kulasekara,2,10,2,9,5,6,PWI,Chidambaram,19-Apr-12
710,Amit Mishra,4,20,2,9,5,12,RR,Rajiv Gandhi Intl. Cricket Stadium,18-May-12
711,Piyush Chawla,4,20,2,11,5,12,CSK,Chidambaram,28-Apr-12
712,Siddharth Trivedi,4,20,2,12,5,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,18-May-12
713,Daniel Vettori,4,20,1,6,5,24,RR,M. Chinnaswamy Stadium,15-Apr-12
714,Brad Hogg,4,20,1,12,5,24,KKR,Eden Gardens,13-Apr-12
715,Lakshmipathy Balaji,4,20,1,9,5,24,PBKS,IS Bindra Stadium,18-Apr-12
716,Ben Hilfenhaus,4,20,1,15,5,24,PBKS,HPCA Stadium,17-May-12
717,Glenn Maxwell,2,10,1,5,5,12,RCB,M. Chinnaswamy Stadium,07-Apr-12
718,Irfan Pathan,4,20,1,11,5,24,KKR,Maharashtra Cricket Association's International Stadium,22-May-12
719,Suresh Raina,2,10,1,2,5,12,DEC,ACA-VDCA Stadium,07-Apr-12
720,Ajit Chandila,4,20,1,12,5,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,18-May-12
721,Ashok Menaria,2,10,0,7,5,0,CSK,Chidambaram,21-Apr-12
722,Angelo Mathews,3,15,0,3,5,0,RR,Maharashtra Cricket Association's International Stadium,08-May-12
723,Dwayne Smith,2,10,0,5,5,0,RCB,M. Chinnaswamy Stadium,14-May-12
724,Albie Morkel,4,20,0,13,5,0,MI,Chidambaram,04-Apr-12
725,Munaf Patel,3,15,0,10,5,0,DC,Wankhede Stadium,16-Apr-12
726,Harshal Patel,2,10,0,6,5,0,DC,M. Chinnaswamy Stadium,07-Apr-12
727,Ravichandran Ashwin,4,20,0,10,5,0,MI,Chidambaram,04-Apr-12
728,Lasith Malinga,4,20,0,14,5,0,RCB,Wankhede Stadium,09-May-12
729,Daniel Vettori,4,20,0,9,5,0,RR,Sawai Mansingh Stadium,23-Apr-12
730,Ashish Reddy,2.1,11,1,8,5.07,13,MI,Wankhede Stadium,29-Apr-12
731,Lakshmipathy Balaji,3.5,20,1,10,5.21,23,PWI,Maharashtra Cricket Association's International Stadium,19-May-12
732,Muttiah Muralitharan,4,21,3,10,5.25,8,CSK,Chidambaram,12-Apr-12
733,Umesh Yadav,4,21,3,14,5.25,8,PBKS,Arun Jaitley Stadium,15-May-12
734,Yo Mahesh,4,21,2,10,5.25,12,RR,Sawai Mansingh Stadium,10-May-12
735,Johan Botha,4,21,2,9,5.25,12,PBKS,IS Bindra Stadium,05-May-12
736,Jacques Kallis,4,21,2,10,5.25,12,CSK,Chidambaram,30-Apr-12
737,Zaheer Khan,4,21,2,11,5.25,12,PWI,Maharashtra Cricket Association's International Stadium,11-May-12
738,Piyush Chawla,4,21,1,9,5.25,24,RCB,IS Bindra Stadium,20-Apr-12
739,Morne Morkel,4,21,1,10,5.25,24,MI,Arun Jaitley Stadium,27-Apr-12
740,Marlon Samuels,4,21,1,12,5.25,24,MI,Wankhede Stadium,06-Apr-12
741,Ravindra Jadeja,4,21,1,9,5.25,24,RR,Sawai Mansingh Stadium,10-May-12
742,Brett Lee,4,21,0,17,5.25,0,RCB,M. Chinnaswamy Stadium,10-Apr-12
743,Ravindra Jadeja,4,21,0,6,5.25,0,PWI,Chidambaram,19-Apr-12
744,Rahul Sharma,3,16,2,5,5.33,9,CSK,Maharashtra Cricket Association's International Stadium,14-Apr-12
745,Harbhajan Singh,3,16,1,7,5.33,18,PWI,Wankhede Stadium,06-Apr-12
746,Albie Morkel,3,16,1,7,5.33,18,DEC,Chidambaram,04-May-12
747,Varun Aaron,3.4,20,1,8,5.45,22,KKR,Arun Jaitley Stadium,07-May-12
748,Vinay Kumar,4,22,3,11,5.5,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,20-May-12
749,Alfonso Thomas,4,22,3,13,5.5,8,DC,Arun Jaitley Stadium,21-Apr-12
750,Stuart Binny,2,3,1,9,1.5,12,DC,Sawai Mansingh Stadium,07-May-13
751,Mitchell Johnson,4,8,2,16,2,12,PWI,Maharashtra Cricket Association's International Stadium,11-May-13
752,Lasith Malinga,3,6,2,12,2,9,CSK,Wankhede Stadium,05-May-13
753,Amit Mishra,4,8,2,18,2,12,RR,Rajiv Gandhi Intl. Cricket Stadium,17-May-13
754,Karn Sharma,4,8,0,16,2,0,CSK,Chidambaram,25-Apr-13
755,Lakshmipathy Balaji,3,7,0,13,2.33,0,MI,Wankhede Stadium,07-May-13
756,Praveen Kumar,4,10,2,17,2.5,12,RR,Sawai Mansingh Stadium,14-Apr-13
757,Hanuma Vihari,2,5,0,8,2.5,0,PBKS,IS Bindra Stadium,11-May-13
758,Dale Steyn,4,11,2,15,2.75,12,DC,Arun Jaitley Stadium,12-Apr-13
759,Sunil Narine,4,11,0,17,2.75,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,19-May-13
760,Dale Steyn,3.5,11,3,14,2.86,7.66,PWI,Rajiv Gandhi Intl. Cricket Stadium,05-Apr-13
761,Dwayne Bravo,3,9,3,9,3,6,MI,Arun Jaitley Stadium,21-May-13
762,Ajit Chandila,2,6,2,5,3,6,MI,Sawai Mansingh Stadium,17-Apr-13
763,Sunil Narine,4,12,2,15,3,12,PWI,Maharashtra Cricket Association's International Stadium,09-May-13
764,Bhuvneshwar Kumar,4,12,2,15,3,12,CSK,Chidambaram,15-Apr-13
765,Moises Henriques,2,6,1,7,3,12,RR,Sawai Mansingh Stadium,29-Apr-13
766,Ryan Harris,4,12,1,17,3,24,PWI,Maharashtra Cricket Association's International Stadium,07-Apr-13
767,Sunil Narine,4,13,4,14,3.25,6,DC,Eden Gardens,03-Apr-13
768,RP Singh,4,13,3,17,3.25,8,RR,M. Chinnaswamy Stadium,20-Apr-13
769,Jacques Kallis,4,13,3,13,3.25,8,SRH,Eden Gardens,14-Apr-13
770,Mitchell Johnson,4,13,2,14,3.25,12,KKR,Wankhede Stadium,07-May-13
771,Harbhajan Singh,4,13,1,13,3.25,24,CSK,Wankhede Stadium,05-May-13
772,Mohit Sharma,3,10,3,11,3.33,6,DC,Arun Jaitley Stadium,18-Apr-13
773,Darren Sammy,3,10,2,10,3.33,9,DC,Rajiv Gandhi Intl. Cricket Stadium,04-May-13
774,Ankeet Chavan,3,10,0,12,3.33,0,MI,Sawai Mansingh Stadium,17-Apr-13
775,Thisara Perera,3.1,11,2,13,3.47,9.5,DC,Rajiv Gandhi Intl. Cricket Stadium,04-May-13
776,Harbhajan Singh,4,14,3,10,3.5,8,PBKS,Wankhede Stadium,29-Apr-13
777,Jacques Kallis,4,14,2,11,3.5,12,PBKS,Eden Gardens,26-Apr-13
778,Mitchell Marsh,2,7,2,6,3.5,6,KKR,Maharashtra Cricket Association's International Stadium,09-May-13
779,Dale Steyn,4,14,1,14,3.5,24,PBKS,Rajiv Gandhi Intl. Cricket Stadium,19-Apr-13
780,Harbhajan Singh,4,14,1,10,3.5,24,PWI,Maharashtra Cricket Association's International Stadium,11-May-13
781,Sunil Narine,4,14,0,14,3.5,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,01-May-13
782,Shahbaz Nadeem,2,7,0,6,3.5,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,04-May-13
783,David Hussey,4,14,0,9,3.5,0,DC,Arun Jaitley Stadium,23-Apr-13
784,Johan Botha,3,11,2,10,3.66,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,04-May-13
785,Ishant Sharma,3,11,1,13,3.66,18,DC,Rajiv Gandhi Intl. Cricket Stadium,04-May-13
786,Johan Botha,3,11,1,10,3.66,18,SRH,Arun Jaitley Stadium,12-Apr-13
787,Kevon Cooper,4,15,3,11,3.75,8,KKR,Sawai Mansingh Stadium,08-Apr-13
788,Ali Murtaza,4,15,3,12,3.75,8,DC,Maharashtra Cricket Association's International Stadium,19-May-13
789,Ishant Sharma,4,15,2,15,3.75,12,MI,Rajiv Gandhi Intl. Cricket Stadium,01-May-13
790,Ajantha Mendis,4,15,1,12,3.75,24,MI,Maharashtra Cricket Association's International Stadium,11-May-13
791,Amit Mishra,4,15,1,10,3.75,24,DC,Arun Jaitley Stadium,12-Apr-13
792,Dale Steyn,4,15,1,16,3.75,24,RR,Sawai Mansingh Stadium,27-Apr-13
793,Amit Mishra,4,15,1,13,3.75,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,07-Apr-13
794,James Faulkner,4,16,5,12,4,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-May-13
795,Pragyan Ojha,4,16,2,9,4,12,CSK,Chidambaram,06-Apr-13
796,Albie Morkel,3,12,2,11,4,9,MI,Eden Gardens,26-May-13
797,Rahul Sharma,4,16,2,10,4,12,RR,Maharashtra Cricket Association's International Stadium,11-Apr-13
798,Amit Mishra,4,16,1,11,4,24,DC,Rajiv Gandhi Intl. Cricket Stadium,04-May-13
799,Praveen Kumar,3,12,1,11,4,18,SRH,Rajiv Gandhi Intl. Cricket Stadium,19-Apr-13
800,Irfan Pathan,4,16,1,15,4,24,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01-May-13
801,Parvinder Awana,4,16,1,14,4,24,PWI,Maharashtra Cricket Association's International Stadium,07-Apr-13
802,Amit Mishra,4,16,1,15,4,24,RR,Arun Jaitley Stadium,22-May-13
803,Chris Morris,3,12,1,9,4,18,KKR,Eden Gardens,20-Apr-13
804,Yuvraj Singh,2,8,1,6,4,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,05-Apr-13
805,Dale Steyn,4,16,0,13,4,0,RCB,M. Chinnaswamy Stadium,09-Apr-13
806,Parvinder Awana,4,16,0,9,4,0,MI,Wankhede Stadium,29-Apr-13
807,Siddarth Kaul,2,8,0,10,4,0,SRH,Arun Jaitley Stadium,12-Apr-13
808,James Faulkner,4,16,0,13,4,0,KKR,Eden Gardens,03-May-13
809,Sunil Narine,4,17,3,11,4.25,8,MI,Eden Gardens,24-Apr-13
810,Jacques Kallis,4,17,2,10,4.25,12,RCB,JSCA Stadium,12-May-13
811,James Faulkner,4,17,2,13,4.25,12,PWI,Maharashtra Cricket Association's International Stadium,11-Apr-13
812,Shahbaz Nadeem,4,17,2,11,4.25,12,SRH,Arun Jaitley Stadium,12-Apr-13
813,Dale Steyn,4,17,2,12,4.25,12,RR,Rajiv Gandhi Intl. Cricket Stadium,17-May-13
814,Murali Kartik,4,17,1,15,4.25,24,KKR,JSCA Stadium,12-May-13
815,Bhuvneshwar Kumar,4,17,1,11,4.25,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,05-Apr-13
816,Siddharth Trivedi,4,17,1,14,4.25,24,MI,Sawai Mansingh Stadium,17-Apr-13
817,Roelof van der Merwe,4,17,1,13,4.25,24,PBKS,Arun Jaitley Stadium,23-Apr-13
818,Ravi Rampaul,4,17,1,13,4.25,24,KKR,JSCA Stadium,12-May-13
819,Dale Steyn,4,17,0,13,4.25,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,08-May-13
820,Sunil Narine,4,17,0,13,4.25,0,RCB,M. Chinnaswamy Stadium,11-Apr-13
821,Ajit Chandila,3,13,2,13,4.33,9,SRH,Sawai Mansingh Stadium,27-Apr-13
822,Karn Sharma,3,13,1,8,4.33,18,PWI,Maharashtra Cricket Association's International Stadium,17-Apr-13
823,Albie Morkel,3,13,1,11,4.33,18,DC,Arun Jaitley Stadium,18-Apr-13
824,Mohit Sharma,3,13,0,12,4.33,0,KKR,Eden Gardens,20-Apr-13
825,Dirk Nannes,3.5,17,2,14,4.43,11.5,PBKS,IS Bindra Stadium,10-Apr-13
826,Vinay Kumar,4,18,3,13,4.5,8,RR,M. Chinnaswamy Stadium,20-Apr-13
827,Bhuvneshwar Kumar,4,18,3,16,4.5,8,SRH,Maharashtra Cricket Association's International Stadium,17-Apr-13
828,Ravichandran Ashwin,4,18,2,11,4.5,12,DC,Arun Jaitley Stadium,18-Apr-13
829,Manpreet Gony,4,18,1,15,4.5,24,KKR,IS Bindra Stadium,16-Apr-13
830,Lasith Malinga,3.2,15,1,9,4.5,20,KKR,Wankhede Stadium,07-May-13
831,Sachithra Senanayake,4,18,1,16,4.5,24,CSK,Eden Gardens,20-Apr-13
832,Shanthakumaran Sreesanth,4,18,1,14,4.5,24,DC,Arun Jaitley Stadium,06-Apr-13
833,Muttiah Muralitharan,4,18,1,8,4.5,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,07-Apr-13
834,Karn Sharma,2,9,1,5,4.5,12,DC,Rajiv Gandhi Intl. Cricket Stadium,04-May-13
835,Sachithra Senanayake,4,18,1,6,4.5,24,SRH,Eden Gardens,14-Apr-13
836,Dwayne Bravo,4,18,1,10,4.5,24,PWI,Maharashtra Cricket Association's International Stadium,30-Apr-13
837,Sachithra Senanayake,4,18,1,10,4.5,24,RCB,JSCA Stadium,12-May-13
838,Siddharth Trivedi,4,18,1,9,4.5,24,SRH,Arun Jaitley Stadium,22-May-13
839,Dirk Nannes,4,18,1,8,4.5,24,MI,Chidambaram,06-Apr-13
840,Yuvraj Singh,2,9,0,3,4.5,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,28-Apr-13
841,Pragyan Ojha,4,18,0,10,4.5,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,01-May-13
842,Angelo Mathews,3,14,3,9,4.66,6,DC,Maharashtra Cricket Association's International Stadium,19-May-13
843,Moises Henriques,3,14,2,9,4.66,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,07-Apr-13
844,Vikramjeet Malik,3,14,2,12,4.66,9,SRH,Arun Jaitley Stadium,22-May-13
845,Stuart Binny,3,14,2,8,4.66,9,MI,Sawai Mansingh Stadium,17-Apr-13
846,Harbhajan Singh,3,14,2,11,4.66,9,CSK,Eden Gardens,26-May-13
847,Thisara Perera,3,14,0,9,4.66,0,RR,Arun Jaitley Stadium,22-May-13
848,Chris Morris,3,14,0,11,4.66,0,MI,Wankhede Stadium,05-May-13
849,Ajit Chandila,3,14,0,12,4.66,0,PBKS,Sawai Mansingh Stadium,14-Apr-13
850,Pragyan Ojha,2.2,11,3,8,4.71,4.66,CSK,Wankhede Stadium,05-May-13
851,Amit Mishra,4,19,4,10,4.75,6,PWI,Maharashtra Cricket Association's International Stadium,17-Apr-13
852,Dhawal Kulkarni,4,19,3,15,4.75,8,RCB,Wankhede Stadium,27-Apr-13
853,Amit Mishra,4,19,3,10,4.75,8,PWI,Rajiv Gandhi Intl. Cricket Stadium,05-Apr-13
854,Azhar Mahmood,4,19,2,10,4.75,12,PWI,Maharashtra Cricket Association's International Stadium,07-Apr-13
855,Dwayne Bravo,4,19,2,8,4.75,12,DC,Chidambaram,14-May-13
856,Mitchell Johnson,4,19,2,13,4.75,12,CSK,Eden Gardens,26-May-13
857,Ravichandran Ashwin,4,19,2,8,4.75,12,DC,Chidambaram,14-May-13
858,Praveen Kumar,4,19,1,13,4.75,24,DC,HPCA Stadium,16-May-13
859,Piyush Chawla,4,19,1,11,4.75,24,PWI,Maharashtra Cricket Association's International Stadium,07-Apr-13
860,Thisara Perera,4,19,1,10,4.75,24,PBKS,IS Bindra Stadium,11-May-13
861,Shane Watson,4,19,1,7,4.75,24,PBKS,IS Bindra Stadium,09-May-13
862,James Faulkner,3.2,16,3,11,4.8,6.66,MI,Sawai Mansingh Stadium,17-Apr-13
863,James Faulkner,4,20,5,13,5,4.8,SRH,Sawai Mansingh Stadium,27-Apr-13
864,Thisara Perera,4,20,3,13,5,8,PWI,Maharashtra Cricket Association's International Stadium,17-Apr-13
865,James Faulkner,4,20,3,8,5,8,CSK,Chidambaram,22-Apr-13
866,Ravindra Jadeja,4,20,3,10,5,8,KKR,Eden Gardens,20-Apr-13
867,Dale Steyn,4,20,2,13,5,12,PBKS,IS Bindra Stadium,11-May-13
868,Shanthakumaran Sreesanth,4,20,2,13,5,12,PBKS,Sawai Mansingh Stadium,14-Apr-13
869,Syed Mohammad,3,15,2,6,5,9,CSK,Chidambaram,13-Apr-13
870,Ravichandran Ashwin,4,20,2,7,5,12,RR,Chidambaram,22-Apr-13
871,Jason Holder,4,20,2,14,5,12,RR,Sawai Mansingh Stadium,12-May-13
872,Piyush Chawla,4,20,2,15,5,12,MI,HPCA Stadium,18-May-13
873,Sunil Narine,4,20,1,10,5,24,RR,Eden Gardens,03-May-13
874,Brett Lee,4,20,1,14,5,24,RR,Sawai Mansingh Stadium,08-Apr-13
875,Lakshmipathy Balaji,4,20,1,10,5,24,DC,Eden Gardens,03-Apr-13
876,Lasith Malinga,4,20,1,12,5,24,DC,Wankhede Stadium,09-Apr-13
877,Piyush Chawla,4,20,1,10,5,24,SRH,IS Bindra Stadium,11-May-13
878,Sunil Narine,4,20,1,8,5,24,CSK,Eden Gardens,20-Apr-13
879,Praveen Kumar,3,15,1,10,5,18,MI,HPCA Stadium,18-May-13
880,Mitchell Johnson,3,15,1,11,5,18,RCB,M. Chinnaswamy Stadium,04-Apr-13
881,Siddharth Trivedi,4,20,1,6,5,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-May-13
882,Amit Mishra,4,20,1,8,5,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,19-May-13
883,RP Singh,4,20,1,14,5,24,PWI,M. Chinnaswamy Stadium,23-Apr-13
884,Karn Sharma,3,15,1,10,5,18,KKR,Rajiv Gandhi Intl. Cricket Stadium,19-May-13
