,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
565,Eoin Morgan,13,4,325,3,0,PBKS,Eden Gardens,30-Apr-11
566,Rohit Sharma,13,4,325,1,1,RR,Wankhede Stadium,20-May-11
567,Chris Gayle,13,3,433.33,0,2,CSK,M. Chinnaswamy Stadium,22-May-11
568,Paul Valthaty,13,4,325,3,0,RCB,M. Chinnaswamy Stadium,06-May-11
569,Brendon McCullum,13,5,260,3,0,MI,Wankhede Stadium,15-Apr-11
570,Brendon McCullum,13,6,216.66,3,0,DC,Arun Jaitley Stadium,02-May-11
571,Ross Taylor,13,5,260,0,2,KKR,Sawai Mansingh Stadium,15-Apr-11
572,Shane Watson,13,6,216.66,3,0,PBKS,IS Bindra Stadium,21-Apr-11
573,Chris Gayle,13,4,325,1,1,PBKS,M. Chinnaswamy Stadium,06-May-11
574,Dinesh Karthik,13,5,260,0,2,KTK,Holkar Cricket Stadium,13-May-11
575,Saurabh Tiwary,13,5,260,2,0,KTK,Jawaharlal Nehru Stadium,09-Apr-11
576,Morne Morkel,13,4,325,1,1,PBKS,HPCA Stadium,15-May-11
577,Ryan McLaren,13,4,325,1,1,PWI,DY Patil Stadium,10-Apr-11
578,Jesse Ryder,13,4,325,3,0,CSK,DY Patil Stadium,27-Apr-11
579,Dinesh Karthik,13,4,325,3,0,RR,IS Bindra Stadium,21-Apr-11
580,Murali Vijay,13,5,260,1,1,PBKS,IS Bindra Stadium,13-Apr-11
581,Shane Watson,13,5,260,1,1,MI,Wankhede Stadium,20-May-11
582,Chris Gayle,13,5,260,0,2,KKR,Eden Gardens,22-Apr-11
583,Chris Gayle,13,3,433.33,0,2,MI,Chidambaram,27-May-11
584,Suresh Raina,13,3,433.33,0,2,RCB,Wankhede Stadium,24-May-11
585,Raiphi Gomez,13,5,260,2,0,PWI,DY Patil Stadium,13-Apr-11
586,Manoj Tiwary,13,5,260,0,2,DEC,Eden Gardens,11-Apr-11
587,Rohit Sharma,13,4,325,3,0,DC,Arun Jaitley Stadium,10-Apr-11
588,Subramaniam Badrinath,13,4,325,1,1,MI,Wankhede Stadium,22-Apr-11
589,Shaun Marsh,13,5,260,3,0,KTK,Holkar Cricket Stadium,13-May-11
590,Kumar Sangakkara,13,5,260,3,0,DC,Rajiv Gandhi Intl. Cricket Stadium,05-May-11
591,Jesse Ryder,13,4,325,3,0,DC,DY Patil Stadium,17-Apr-11
592,Brendon McCullum,13,5,260,2,0,MI,Wankhede Stadium,15-Apr-11
